Category,number
STOLEN PROPERTY,196
VANDALISM,2280
SUICIDE,23
OTHER OFFENSES,4610
RUNAWAY,32
PORNOGRAPHY/OBSCENE MAT,1
BRIBERY,16
ASSAULT,3562
BURGLARY,1391
FAMILY OFFENSES,8
DRUNKENNESS,98
"SEX OFFENSES, NON FORCIBLE",9
TREA,1
KIDNAPPING,66
SUSPICIOUS OCC,1523
LOITERING,7
EMBEZZLEMENT,22
RECOVERED VEHICLE,180
TRESPASS,509
SECONDARY CODES,512
VEHICLE THEFT,1628
NON-CRIMINAL,4110
ARSON,74
FORGERY/COUNTERFEITING,106
LARCENY/THEFT,10413
DISORDERLY CONDUCT,200
ROBBERY,870
LIQUOR LAWS,25
WARRANTS,1209
BAD CHECKS,6
PROSTITUTION,177
DRUG/NARCOTIC,988
FRAUD,530
WEAPON LAWS,478
MISSING PERSON,1073
"SEX OFFENSES, FORCIBLE",213
EXTORTION,15
DRIVING UNDER THE INFLUENCE,76
GAMBLING,6
