Date,number
10/24/2016,411
11/17/2016,419
11/24/2016,302
10/23/2016,361
12/04/2016,371
11/15/2016,442
09/30/2016,445
11/28/2016,368
12/12/2016,349
10/16/2016,396
11/02/2016,406
12/09/2016,358
12/10/2016,372
12/06/2016,394
10/28/2016,452
09/21/2016,385
10/21/2016,407
09/24/2016,443
11/20/2016,397
11/12/2016,461
12/01/2016,392
10/06/2016,402
10/02/2016,359
12/03/2016,351
12/08/2016,310
10/11/2016,392
10/12/2016,434
11/01/2016,387
10/05/2016,392
10/17/2016,418
10/22/2016,409
12/14/2016,310
10/25/2016,419
11/10/2016,431
11/29/2016,410
10/26/2016,430
10/15/2016,406
10/07/2016,473
10/30/2016,428
10/27/2016,435
11/30/2016,348
12/07/2016,318
11/07/2016,353
11/25/2016,447
11/19/2016,402
11/09/2016,386
09/23/2016,446
11/08/2016,409
09/29/2016,354
10/04/2016,434
10/03/2016,416
12/11/2016,384
10/10/2016,453
09/17/2016,428
10/13/2016,451
11/22/2016,402
11/04/2016,460
09/22/2016,429
09/14/2016,384
10/01/2016,439
11/16/2016,434
10/31/2016,436
09/18/2016,416
09/27/2016,419
10/19/2016,413
12/02/2016,418
10/09/2016,427
11/06/2016,404
11/14/2016,384
09/26/2016,413
09/16/2016,425
11/05/2016,396
11/23/2016,414
09/28/2016,434
11/27/2016,388
10/14/2016,427
10/18/2016,395
11/13/2016,335
12/05/2016,377
11/03/2016,435
11/11/2016,436
11/21/2016,381
09/19/2016,379
11/18/2016,469
10/08/2016,524
09/15/2016,450
12/13/2016,290
10/29/2016,416
11/26/2016,432
09/25/2016,425
10/20/2016,409
09/20/2016,372
